Fecha,Titulo_ES,Año,Mi Nota
2024-03-01,Dune: Parte dos,2024,9
2024-03-08,Kung Fu Panda 4,2024,7
2024-03-27,Los niños de Winton,2023,7
2024-03-28,Godzilla y Kong: El nuevo imperio,2024,8.5
2024-04-05,Freelance,2023,5
2024-04-12,Menudas piezas,2024,7.5
2024-04-19,Civil War,2024,8
2024-04-21,Abigail,2024,9
2024-04-28,El especialista,2024,6.5
2024-05-01,Immaculate,2024,8
2024-05-10,El reino del planeta de los simios,2024,9
2024-05-12,Tarot,2024,7.5
2024-06-02,Furiosa: De la saga Mad Max,2024,8
2024-06-02,Amigos imaginarios,2024,7
2024-06-04,Arthur,2024,8
2024-06-14,Respira,2024,7
2024-06-17,Hit Man. Asesino por casualidad,2023,5.5
2024-06-20,Del revés 2,2024,7
2024-06-26,Bad Boys: Ride or Die,2024,6.5
2024-06-27,Un lugar tranquilo: Día 1,2024,8
2024-07-03,Gru 4: Mi villano favorito,2024,6.5
2024-07-07,Kill Boy,2023,8
2024-07-14,Fly Me to the Moon,2024,8.5
2024-07-14,Strangers. Capítulo 1,2024,2
2024-07-17,Twisters,2024,9
2024-07-25,Deadpool y Lobezno,2024,9.5
2024-08-07,Deadpool y Lobezno,2024,9.5
2024-08-09,La trampa,2024,8
2024-08-09,Borderlands,2024,8
2024-08-15,Alien: Romulus,2024,10
2024-08-18,Alien: Romulus,2024,10
2024-08-28,MaXXXine,2024,8
2024-08-30,DIAbólica,2024,8
2024-09-01,El Cuervo. The Crow,2024,7.5
2024-09-04,Un regalo para papá y mamá,2024,7
2024-09-06,Bitelchús Bitelchús,2024,6
2024-09-22,Transformers One,2024,9.5
2024-09-22,Juega o muere,2023,2.5
2024-10-04,Joker: Folie à Deux,2024,5.5
2024-10-11,Robot salvaje,2024,10
2024-10-13,Robot salvaje,2024,10
2024-10-18,Smile 2,2024,3.5
2024-10-22,La infiltrada,2024,8
2024-10-25,Venom: El último baile,2024,8.5
2024-11-01,Terrifier 3,2024,7.5
2024-11-08,Red One,2024,8.5
2024-11-10,Harold y el lápiz mágico,2024,8
2024-11-15,Gladiator II,2024,9
2024-11-22,Wicked,2024,7
2024-11-29,Vaiana 2,2024,8
2024-12-05,El señor de los anillos: La guerra de los Rohirrim,2024,8.5
2024-12-13,Kraven the Hunter,2024,8
2024-12-20,Mufasa: El rey león,2024,10
2024-12-26,Sonic 3: La película,2024,9
2024-12-26,Mufasa: El rey león,2024,10
2025-01-02,Vigilante Diaries,2016,5
2025-01-03,El secreto de Anthony Zimmer,2005,3
2025-01-03,Arose Farari,2005,4
2025-01-03,Maternity Blues,2011,3
2025-01-03,The Sixth Reel,2021,5
2025-01-03,Mu mian jia sha,1985,6
2025-01-04,Asfalto,1981,2
2025-01-04,1999-nen no natsuyasumi,1988,2
2025-01-05,Blood de Brad Anderson,2022,4
2025-01-06,Historia de un soldado,1984,2
2025-01-06,Meet Ricky Gervais,2000,5
2025-01-07,To the Lighthouse,1983,1
2025-01-07,You Am I,2006,4
2025-01-09,Türkan,2010,3
2025-01-10,Lubie nietoperze,1985,1
2025-01-10,Redhead,2023,6
2025-01-10,The Ransom of Red Chief,1998,5
2025-01-12,Vchera,1988,1
2025-01-13,Jackpot,2013,4
2025-01-15,Schöne Frauen,2004,3
2025-01-15,Nodame Kantâbire: Saishuu-gakushou - Zenpen,2009,4
2025-01-15,Gundam Build Fighters,2013,6
2025-01-16,Najlepszy,2017,4
2025-01-18,La mejor jugada,1986,1
2025-01-18,Kyoko,1996,3
2025-01-20,Un largo camino a casa,1988,2
2025-01-20,Juego de niños,2012,4
2025-01-21,Robuste,2021,5
2025-01-21,Tales from Six Feet Under,2020,5
2025-01-22,La portuguesa,2018,3
2025-01-23,G,1983,2
2025-01-24,Colegas,1982,2
2025-01-24,Bröderna Mozart,1986,1
2025-01-25,La guerra dels corrents,2017,4
2025-01-25,The Redwood Massacre,2014,6
2025-01-25,The Ranganation,2019,6
2025-01-26,Seducir a Raquel,1989,1
2025-01-26,Kaadhal Parisu,1987,1
2025-01-26,El desafío americano,1984,1
2025-01-26,Años de pesadilla,1989,2
2025-01-28,Black Cloud,2004,4
2025-01-29,Once More,1997,3
2025-01-29,Shibuya kaidan,2004,3
2025-01-29,Rise of the TMNT Shorts,2019,5
2025-01-30,Zui ai,1986,1
2025-01-31,O bednom gusare zamolvite slovo,1981,2
2025-01-31,Love Stories in Sunflower Valley,2021,5
2025-02-01,La bella i la bèstia,1987,2
2025-02-01,Night Pulse,2018,4
2025-02-02,Christopher Roth,2010,3
2025-02-04,Be My Valentine,2013,4
2025-02-04,Dongalunnaru Jagratta,2022,5
2025-02-05,Grotesquerie,2024,3
2025-02-06,El violín,2005,3
2025-02-06,Avions,2013,6
2025-02-07,Si estuvieras aquí,1987,2
2025-02-09,Anjos do Arrabalde,1987,1
2025-02-09,French kiss,1995,4
2025-02-09,Murphy,2024,3
2025-02-09,Frode og alle de andre rødder,2008,5
2025-02-09,Shooting Vegetarians,2005,5
2025-02-10,Stan posiadania,1989,1
2025-02-10,Lizard Woman,2004,4
2025-02-10,Der Baulöwe,1980,5
2025-02-11,L'aventurer de mitjanit,1982,2
2025-02-11,Strumpet City,1980,1
2025-02-11,The Invitation,2003,3
2025-02-11,Vakáción a Mézga-család,1980,6
2025-02-12,Tiempo para un milagro,1980,2
2025-02-13,Problemas de mujeres,2009,5
2025-02-17,Adaminte Variyellu,1983,1
2025-02-19,Hjärtat,2018,4
2025-02-20,Quemadura en tercer grado,1989,1
2025-02-20,Crimen en portada,2002,3
2025-02-20,Ouija Shark,2020,4
2025-02-21,La chica de Nueva York,1982,1
2025-02-22,Orquídea salvaje,1989,1
2025-02-23,Nada es eterno,1984,1
2025-02-23,Intimo,1988,2
2025-02-25,El año que vivimos peligrosamente,1982,2
2025-02-25,Irma Vep,1996,3
2025-02-25,Tou tou cang bu zhu,2023,4
2025-02-25,Shadow Island,2023,4
2025-02-26,Noi tre,1984,1
2025-02-26,Sur,1988,2
2025-02-26,Tako se kalio celik,1988,2
2025-02-27,Las aventuras de Tom Sawyer,1986,1
2025-02-27,Ms. Marvel,2022,6
2025-02-28,Tellement proches,2009,3
2025-02-28,Los panzers de la muerte,1987,5
2025-03-01,The Fitzroy,2017,5
2025-03-02,Comme ton père,2007,5
2025-03-03,Chuzhaya belaya i ryaboy,1986,2
2025-03-03,Entrevista,1987,1
2025-03-03,La rosa de China,1983,1
2025-03-03,El león duerme esta noche,2017,4
2025-03-03,Feeling Butterflies,2022,5
2025-03-03,Nunca digas sí,2012,6
2025-03-03,5x Favela: Agora por Nós Mesmos,2010,6
2025-03-03,Becoming Dick,2000,5
2025-03-04,An Unexpected Son,2016,6
2025-03-06,Juillet août,2016,3
2025-03-07,The Hollowmen,2008,6
2025-03-08,Tarsi se saprug za mama,1985,1
2025-03-08,My Daughter Is a Zombie,2025,5
2025-03-08,Circus,2023,6
2025-03-09,Ander y Yul,1988,2
2025-03-09,Vanished,2011,5
2025-03-10,Ikinci pärdä,2018,4
2025-03-10,Scandalous,1984,6
2025-03-11,La comida del diablo,1996,6
2025-03-11,Stuck,2018,6
2025-03-13,Bir Kirik Bebek,1987,2
2025-03-13,Baby,2020,6
2025-03-14,El diario de la tortuga,1985,2
2025-03-15,Sharp as Marbles,2008,5
2025-03-15,Camille redouble,2012,5
2025-03-16,A Master Builder,2013,4
2025-03-17,Vivir a tope,1980,1
2025-03-17,A la mañana siguiente,1986,1
2025-03-17,Habitación sin salida 3,2010,3
2025-03-18,La última oportunidad,2017,4
2025-03-19,Un amor a Escòcia,2021,3
2025-03-19,KillHer,2022,6
2025-03-21,Dariya Dil,1988,1
2025-03-22,Kuan meun ho,2010,5
2025-03-22,Jaque mate,2015,6
2025-03-23,Chase in the dark,2022,5
2025-03-24,Hunt Club,2022,4
2025-03-24,El Silbón: Orígenes,2018,4
2025-03-26,En mitad del corazón,1988,1
2025-03-26,El éxito es la mejor venganza,1984,1
2025-03-26,Confesiones verdaderas,1981,1
2025-03-28,Sinistre,2012,5
2025-03-29,Perry Mason: El caso de la dama del lago,1988,2
2025-03-29,Salaam Bombay!,1988,2
2025-03-29,Viernes 13 IX: Jason se va al infierno,1993,3
2025-03-29,La Venganza,2002,3
2025-03-30,Hanau (Deutschland im Winter - Part 1),2022,3
2025-03-30,Come Home,2023,6
2025-03-30,A Snow White Christmas,2018,5
2025-03-31,Elegidos del gheto,1981,2
2025-03-31,La furia de Chicago,1980,5
2025-03-31,Gagman,1989,5
2025-04-01,El búnker: Los últimos días de Hitler,1981,1
2025-04-01,Inocencia machacada,1996,4
2025-04-02,Knights of God,1987,1
2025-04-02,Frazier Park Recut,2017,5
2025-04-02,Survive Style 5+,2004,6
2025-04-03,Chinas,2023,4
2025-04-05,Asih 2,2020,3
2025-04-05,Deudas de familia,2021,4
2025-04-05,La loi de Murphy,2009,6
2025-04-07,Charlatán,2020,4
2025-04-08,Le pactole,1985,2
2025-04-10,La huella de la noche,1981,2
2025-04-10,B.A.G. El Buen Amigo Gigante,1989,2
2025-04-10,Box,2015,3
2025-04-10,Kutukan Cakar Monyet,2023,6
2025-04-12,La chouette aveugle,1987,2
2025-04-12,Les guardianes,2017,3
2025-04-12,Iyilik,2022,3
2025-04-13,Too Late with Adam Carolla,2005,5
2025-04-14,Hebburn,2012,5
2025-04-16,Dead Body,2017,4
2025-04-16,La presa,1985,3
2025-04-16,CEOs Baby Mama Secretary,2025,3
2025-04-17,Ya Istiklal Ya Ölüm,2020,4
2025-04-18,El menú,2022,3
2025-04-18,Quick Draw,2013,6
2025-04-19,La brigada de Sharky,1981,5
2025-04-20,The Ecstasy of Isabel Mann,2012,6
2025-04-21,El astuto,1987,2
2025-04-22,Kamenskaya - 1,1999,3
2025-04-22,Noche de fin de año,2011,3
2025-04-22,Demon Keeper,1994,4
2025-04-23,Ciudad Alfabeto,1984,2
2025-04-23,El caso de la dama asesinada,1987,1
2025-04-23,American Odyssey,2015,5
2025-04-23,Miami Blues,1990,6
2025-04-24,A fuego lento,2023,4
2025-04-25,La discoteca,1983,1
2025-04-26,Jin hou xiang yao,1985,1
2025-04-27,Frank & Wendy,2004,6
2025-04-27,My Daddy's in Heaven,2017,6
2025-04-28,Grandes esperanzas,1989,1
2025-04-29,Lunastus,1997,4
2025-04-30,Dzieci i ryby,1997,6
2025-05-01,Love Shagun,2016,6
2025-05-02,Más allá del miedo,1983,2
2025-05-03,Lucy,1982,1
2025-05-03,Un quinteto a lo loco,1982,2
2025-05-03,L.A. Zombie,2010,4
2025-05-04,Pequeño círculo de amigos,1980,2
2025-05-04,Maala Yogam,1990,3
2025-05-04,The Unsettling,2022,4
2025-05-05,Una novia muy especial,2012,4
2025-05-05,100 Ghost Street: The Return of Richard Speck,2012,6
2025-05-07,Oohalu Gusagusalade,2014,3
2025-05-07,Los supervivientes,2022,5
2025-05-08,Vidas perfectas,2024,6
2025-05-09,Compañeros,1986,2
2025-05-09,Bella ciao,2001,4
2025-05-09,Escondidas,2013,4
2025-05-09,Cubed,2009,6
2025-05-10,Angelic Conversation,1985,2
2025-05-10,Baby Assassins: Nice Days,2024,5
2025-05-12,Ilzaam,1986,1
2025-05-12,Padre e hijos,2003,6
2025-05-13,Hôtel Normandy,2013,4
2025-05-13,Roofied,2017,5
2025-05-15,Norma Jean y Marilyn,1996,4
2025-05-15,Far til Fire - I Stor Stil,2006,5
2025-05-17,El príncipe de Bel Air,1986,1
2025-05-18,Mielött befejezi röptét a denevér,1989,1
2025-05-18,Kizlar Sinifi,1984,1
2025-05-18,Sukkubus - den Teufel im Leib,1989,1
2025-05-19,Han jia,2010,3
2025-05-21,I Wonder Who's Kissing You Now,1998,6
2025-05-23,Cosas que nunca te dije,1996,5
2025-05-23,Una altra ronda,2020,5
2025-05-24,Elliot,1983,1
2025-05-24,Montaña,2012,6
2025-05-25,Capitán Cook,1987,2
2025-05-25,La venganza de una hermana,2013,3
2025-05-25,Condesa Drácula,1988,4
2025-05-26,La pasión de Béatrice,1987,2
2025-05-26,La ganadora,2005,4
2025-05-26,Secreto de estado,2012,5
2025-05-27,Tree of Heaven,2006,4
2025-05-27,Los días particulares,2019,6
2025-05-29,Muerte bajo el sol,1982,2
2025-05-29,Entry Level,2007,6
2025-05-30,Kuryer,1986,1
2025-05-31,Lekhayude Maranam: Oru Flashback,1983,2
2025-05-31,Survive Style 5+,2004,5
2025-05-31,Baa Baaa Black Sheep,2018,6
2025-05-31,Beauty in the Broken,2015,6
2025-06-01,Thanatomorphose,2012,3
2025-06-02,Love That Girl!,2010,6
2025-06-02,Lost in Karastan,2014,6
2025-06-03,Big Brother,2020,6
2025-06-04,Memed mi halcón,1984,2
2025-06-05,Baron noir,2016,3
2025-06-05,Sadako 3D 2,2013,6
2025-06-06,Calle P,1985,1
2025-06-06,Madre Oscura,2019,3
2025-06-09,Sueños olvidados,2017,4
2025-06-10,Kiklop,1982,1
2025-06-12,Oracle,2023,6
2025-06-13,Kaatteri,2022,6
2025-06-14,Una broma peligrosa,1988,2
2025-06-14,Invisible,2017,4
2025-06-15,Suncokreti,1988,1
2025-06-15,Grindsploitation 3: Video Nasty,2017,6
2025-06-16,City Lights,1984,5
2025-06-17,Prem Pratigyaa,1989,2
2025-06-18,Class 8,2003,4
2025-06-18,2 States,2014,4
2025-06-19,Rams,2020,4
2025-06-19,Hashtag Proposal,2023,5
2025-06-20,La gloria de mi padre,1990,6
2025-06-22,Sweetwater,1988,1
2025-06-24,Diet of Sex,2014,4
2025-06-24,Segunda oportunidad,1997,4
2025-06-25,Wedding March 2: Resorting to Love,2017,5
2025-06-25,Fallen Stars,2017,5
2025-06-25,Gekijo-ban Non Non Biyori: Vacation,2018,5
2025-06-26,Esperando a Míster Bojangles,2021,4
2025-06-26,The Lost Tribe,1983,4
2025-06-27,Seven Devils,2015,6
2025-06-28,Bienvenido a tu funeral,1983,1
2025-06-28,Curse of Humpty Dumpty 3,2023,3
2025-06-28,1987,2014,3
2025-06-29,Biganeh,2014,4
2025-07-01,Los buenos tiempos,1986,1
2025-07-01,Avance a cota cero,1989,1
2025-07-01,Gats,2018,6
2025-07-02,Den kroniske uskyld,1985,1
2025-07-04,Running Out of Luck,1985,1
2025-07-04,La venganza de una rubia,1994,6
2025-07-07,Prisioneros de la muerte,1988,2
2025-07-07,Guy,1996,4
2025-07-07,Juana de Arco I - Las batallas,1994,4
2025-07-07,Dos días en Nueva York,2012,5
2025-07-07,Mis hijos valen oro,2024,6
2025-07-08,Carta de Navidad,2015,3
2025-07-09,A Teia de Gelo,2012,3
2025-07-09,Todos tus secretos,2014,6
2025-07-11,Mis problemas con las mujeres,1983,1
2025-07-12,Die Perlmutterfarbe,2009,4
2025-07-13,El último metro,1980,1
2025-07-13,The Marry Me Pact,2023,3
2025-07-13,El aroma del pasto recién cortado,2024,3
2025-07-13,El páramo,2011,6
2025-07-14,El harén del sultán,1986,1
2025-07-14,Puraido,2004,4
2025-07-15,Daiamondo wa kizutsukanai,1982,1
2025-07-15,Los motivos de Luz,1985,1
2025-07-15,Posesión infernal: El despertar,2023,4
2025-07-15,Vom Suchen und Finden der Liebe,2005,5
2025-07-16,Chui lian ting zheng,1983,1
